County              POP2010
Lamoille            24475
Rutland             61642
Windsor             56670
Accomack            33164
Albemarle           98970
Amelia              12690
Amherst             32353
Appomattox          14973
Arlington           207627
Augusta             73750
Bland               6824
Botetourt           33148
Buckingham          17146
Charles City        7256
Culpeper            46689
Dickenson           15903
Dinwiddie           28001
Fairfax             1081726
Fauquier            65203
Fluvanna            25691
Goochland           21717
Greensville         12243
Hanover             99863
Henrico             306935
Isle of Wight       35270
James City          67009
King and Queen      6945
King George         23584
King William        15935
Loudoun             312311
Lunenburg           12914
Mathews             8978
New Kent            18429
Nottoway            15853
Patrick             18490
Pittsylvania        63506
Powhatan            28046
Prince Edward       23368
Prince George       35725
Prince William      402002
Rappahannock        7373
Roanoke             92376
Rockbridge          22307
Shenandoah          41993
Smyth               32208
Southampton         18570
Spotsylvania        122397
Wythe               29235
Alexandria          139966
Bedford City        6222
Charlottesville     43475
Chesapeake          222209
Colonial Heights    17411
Danville            43055
Emporia             5927
Fairfax City        22565
Falls Church        12332
Franklin City       8582
Fredericksburg      24286
Galax               7042
Harrisonburg        48914
Hopewell            22591
Lynchburg           75568
Manassas            37821
Manassas Park       14273
Martinsville        13821
Newport News        180719
Poquoson            12150
Portsmouth          95535
Radford             16408
Richmond City       204214
Roanoke City        97032
Staunton            23746
Virginia Beach      437994
Waynesboro          21006
Winchester          26203
Asotin              21623
Chelan              72453
Clallam             71404
Cowlitz             102410
Ferry               7551
Grays Harbor        72797
Island              78506
Kitsap              251133
Kittitas            40915
Klickitat           20318
Okanogan            41120
Pacific             20920
Pend Oreille        13001
Skagit              116901
Skamania            11066
Snohomish           713335
Spokane             471221
Wahkiakum           3978
Walla Walla         58781
Whatcom             201140
Whitman             44776
Yakima              243231
Braxton             14523
Brooke              24069
Cabell              96319
Doddridge           8202
Greenbrier          35480
Hardy               14025
Kanawha             193063
Mingo               26839
Monongalia          96189
Pleasants           7605
Preston             33520
Raleigh             78859
Ritchie             10449
Summers             13927
Tucker              7141
Wetzel              16583
Wirt                5717
Barron              45870
Bayfield            15014
Burnett             15457
Calumet             48971
Dane                488073
Door                27785
Eau Claire          98736
Fond du Lac         101633
Green Lake          19051
Kenosha             166426
Kewaunee            20574
La Crosse           114638
Langlade            19977
Manitowoc           81442
Marathon            134063
Marinette           41749
Milwaukee           947735
Oconto              37660
Outagamie           176695
Ozaukee             86395
Pepin               7469
Price               14159
Racine              195408
St. Croix           84345
Sauk                61976
Sawyer              16557
Shawano             41949
Sheboygan           115507
Trempealeau         28816
Vilas               21430
Washburn            15911
Waukesha            389891
Waupaca             52410
Waushara            24496
Converse            13833
Goshen              13249
Hot Springs         4812
Laramie             91738
Natrona             75450
Niobrara            2484
Sublette            10247
Sweetwater          43806
Uinta               21118
Washakie            8533
